25/04/20 16:56:26.840 [1995401376] INFO  parScreenLog - Queuing playback of next item: /home/pi/par/par_screen/resources/default/IMG_2916_burned.png
25/04/20 16:56:26.841 [1995401376] ERROR parScreenLog - Unknown file type: /home/pi/par/par_screen/resources/default/IMG_2916_burned.png
25/04/20 16:56:26.841 [1995401376] INFO  parScreenLog - Queuing playback of next item: /home/pi/par/par_screen/resources/default/IMG_291_burned.png
25/04/20 16:56:27.792 [1995401376] INFO  parScreenLog - Starting playback of next item
25/04/20 16:56:48.280 [1995401376] INFO  parScreenLog - Reached the end of playlist
25/04/20 16:56:48.280 [1995401376] INFO  parScreenLog - Showing default image
25/04/20 16:56:48.280 [1995401376] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:56:48.281 [1995401376] TRACE parScreenLog - Default image preparation time = 905619
25/04/20 16:56:48.281 [1995401376] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:56:48.283 [1995401376] DEBUG parScreenLog - Default image draw time = 2143267 32x32
25/04/20 17:00:56.020 [1995401376] TRACE parScreenLog - New file chunk [0, 65200]
25/04/20 17:00:56.459 [1995401376] TRACE parScreenLog - New file chunk [65200, 130400]
25/04/20 17:00:57.200 [1995401376] TRACE parScreenLog - New file chunk [130400, 195600]
25/04/20 17:00:57.537 [1995401376] TRACE parScreenLog - New file chunk [195600, 260800]
25/04/20 17:00:57.625 [1995401376] TRACE parScreenLog - New file chunk [260800, 326000]
25/04/20 17:00:57.642 [1995401376] TRACE parScreenLog - New file chunk [326000, 391200]
25/04/20 17:00:57.911 [1995401376] TRACE parScreenLog - New file chunk [391200, 456400]
25/04/20 17:00:58.242 [1995401376] TRACE parScreenLog - New file chunk [456400, 521600]
25/04/20 17:01:00.680 [1995401376] TRACE parScreenLog - New file chunk [521600, 586800]
25/04/20 17:01:01.358 [1995401376] TRACE parScreenLog - New file chunk [586800, 652000]
25/04/20 17:01:01.957 [1995401376] TRACE parScreenLog - New file chunk [652000, 717200]
25/04/20 17:01:02.428 [1995401376] TRACE parScreenLog - New file chunk [717200, 782400]
25/04/20 17:01:03.098 [1995401376] TRACE parScreenLog - New file chunk [782400, 847600]
25/04/20 17:01:03.594 [1995401376] TRACE parScreenLog - New file chunk [847600, 912800]
25/04/20 17:01:03.610 [1995401376] TRACE parScreenLog - New file chunk [912800, 978000]
25/04/20 17:01:03.633 [1995401376] TRACE parScreenLog - New file chunk [978000, 1043200]
25/04/20 17:01:03.652 [1995401376] TRACE parScreenLog - New file chunk [1043200, 1108400]
25/04/20 17:01:04.091 [1995401376] TRACE parScreenLog - New file chunk [1108400, 1173600]
25/04/20 17:01:04.114 [1995401376] TRACE parScreenLog - New file chunk [1173600, 1238800]
25/04/20 17:01:04.138 [1995401376] TRACE parScreenLog - New file chunk [1238800, 1304000]
25/04/20 17:01:04.158 [1995401376] TRACE parScreenLog - New file chunk [1304000, 1369200]
